Order_ID,Order_Date,Customer_ID,Customer_Segment,Age,Gender,Region,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Shipping_Cost,Payment_Method,Delivery_Days,Order_Status,Customer_Rating,Cost,Revenue,Profit
ORD-50001,2023-10-25 06:00:00,UID-652,Standard,40,Female,East,PRD-TEC-87,Bluetooth Speaker,Tech Accessories,2,60,0.14,0.0,Credit Card,13,Delivered,2.3,30,103.2,43.2
ORD-50002,2023-02-06 08:00:00,UID-297,Standard,28,Male,West,PRD-SPO-34,Treadmill,Sports,4,500,0.13,0.0,Credit Card,11,Shipped,3.5,300,1740.0,540.0
ORD-50003,2023-08-28 09:00:00,UID-316,Occasional,25,Female,North,PRD-BEA-58,Makeup Set,Beauty,2,40,0.0,13.09,PayPal,11,Delivered,2.7,12,80.0,42.91
ORD-50004,2023-04-21 17:00:00,UID-196,Premium,40,Male,West,PRD-BEA-11,Perfume,Beauty,6,80,0.22,0.0,Bank Transfer,7,Delivered,3.9,25,374.4,224.4
ORD-50005,2023-03-19 12:00:00,UID-801,Premium,64,Female,East,PRD-SPO-73,Dumbbells,Sports,4,40,0.2,0.0,PayPal,1,Delivered,4.9,20,128.0,48.0
ORD-50006,2023-02-03 01:00:00,UID-689,Standard,40,Female,East,PRD-TEC-91,Smart Watch,Tech Accessories,2,150,0.12,0.0,Credit Card,4,Delivered,4.6,75,264.0,114.0
ORD-50007,2023-10-08 14:00:00,UID-242,Premium,23,Male,West,PRD-BEA-58,Perfume,Beauty,2,80,0.18,0.0,PayPal,12,Delivered,2.8,25,131.2,81.2
ORD-50008,2023-06-17 02:00:00,UID-386,Occasional,27,Female,East,PRD-SPO-64,Dumbbells,Sports,1,40,0.08,24.19,Bank Transfer,4,Delivered,3.6,20,36.8,-7.39
ORD-50009,2023-12-01 05:00:00,UID-112,Standard,18,Female,South,PRD-SPO-53,Yoga Mat,Sports,2,25,0.13,8.92,Bank Transfer,10,Delivered,3.5,10,43.5,14.58
ORD-50010,2023-03-10 09:00:00,UID-453,Occasional,61,Female,West,PRD-SPO-91,Resistance Bands,Sports,1,15,0.05,9.32,PayPal,6,Returned,1.2,5,14.25,-0.07
ORD-50011,2023-01-13 14:00:00,UID-980,Premium,60,Male,North,PRD-BEA-26,Moisturizer,Beauty,7,25,0.18,0.0,PayPal,5,Shipped,4.6,6,143.5,101.5
ORD-50012,2023-05-04 13:00:00,UID-308,Premium,47,Female,North,PRD-TEC-16,Bluetooth Speaker,Tech Accessories,6,60,0.23,0.0,PayPal,1,Delivered,3.9,30,277.2,97.2
ORD-50013,2023-12-30 06:00:00,UID-134,Occasional,67,Female,South,PRD-TEC-62,Wireless Charger,Tech Accessories,4,35,0.32,21.11,PayPal,11,Delivered,2.4,15,95.2,14.09
ORD-50014,2023-05-17 19:00:00,UID-753,Premium,25,Male,North,PRD-SPO-76,Treadmill,Sports,2,500,0.17,0.0,PayPal,2,Delivered,3.9,300,830.0,230.0
ORD-50015,2023-05-03 11:00:00,UID-321,Standard,59,Male,North,PRD-HOM-93,Table Lamp,Home & Garden,2,45,0.07,23.32,Credit Card,13,Delivered,3.1,20,83.7,20.38
ORD-50016,2023-08-18 04:00:00,UID-138,Standard,30,Male,West,PRD-TEC-52,Wireless Charger,Tech Accessories,2,35,0.11,14.62,Bank Transfer,6,Delivered,3.7,15,62.3,17.68
ORD-50017,2023-01-21 14:00:00,UID-726,Standard,54,Male,East,PRD-BEA-27,Makeup Set,Beauty,1,40,0.06,18.69,Credit Card,1,Delivered,5.0,12,37.6,6.91
ORD-50018,2023-06-02 09:00:00,UID-340,Premium,28,Female,East,PRD-SPO-91,Dumbbells,Sports,6,40,0.1,0.0,Crypto,4,Delivered,4.2,20,216.0,96.0
ORD-50019,2023-04-13 13:00:00,UID-254,Standard,56,Male,South,PRD-SPO-72,Resistance Bands,Sports,2,15,0.36,8.82,PayPal,13,Delivered,2.8,5,19.2,0.38
ORD-50020,2023-05-16 01:00:00,UID-874,Standard,42,Male,East,PRD-BEA-68,Perfume,Beauty,3,80,0.13,0.0,PayPal,11,Delivered,3.3,25,208.8,133.8
ORD-50021,2023-01-11 11:00:00,UID-593,Occasional,20,Female,East,PRD-TEC-17,Phone Case,Tech Accessories,2,20,0.0,7.51,PayPal,7,Delivered,4.8,5,40.0,22.49
ORD-50022,2023-04-06 13:00:00,UID-804,Occasional,60,Female,North,PRD-BEA-37,Perfume,Beauty,3,80,0.01,0.0,Credit Card,11,Delivered,2.8,25,237.6,162.6
ORD-50023,2023-08-04 16:00:00,UID-147,Premium,21,Male,West,PRD-TEC-46,Smart Watch,Tech Accessories,7,150,0.16,0.0,Credit Card,12,Delivered,3.3,75,882.0,357.0
ORD-50024,2023-08-15 23:00:00,UID-165,Standard,42,Male,South,PRD-SPO-79,Yoga Mat,Sports,1,25,0.14,21.29,Credit Card,14,Delivered,2.8,10,21.5,-9.79
ORD-50025,2023-10-12 07:00:00,UID-987,Standard,66,Female,East,PRD-SPO-98,Dumbbells,Sports,1,40,0.09,21.7,PayPal,2,Delivered,3.5,20,36.4,-5.3
ORD-50026,2023-05-11 22:00:00,UID-262,Standard,51,Male,South,PRD-BEA-80,Moisturizer,Beauty,1,25,0.07,8.75,Credit Card,8,Delivered,3.1,6,23.25,8.5
ORD-50027,2023-09-13 09:00:00,UID-288,Occasional,26,Male,North,PRD-HOM-64,Bed Sheets,Home & Garden,4,50,0.02,0.0,Credit Card,2,Delivered,4.4,20,196.0,116.0
ORD-50028,2023-04-02 21:00:00,UID-104,Occasional,18,Female,South,PRD-TEC-44,Bluetooth Speaker,Tech Accessories,2,60,0.38,13.19,PayPal,11,Returned,2.2,30,74.4,1.21
ORD-50029,2023-10-25 10:00:00,UID-458,Occasional,62,Female,South,PRD-BEA-83,Moisturizer,Beauty,3,25,0.0,23.77,Bank Transfer,13,Delivered,2.3,6,75.0,33.23
ORD-50030,2023-01-06 12:00:00,UID-210,Standard,51,Female,West,PRD-HOM-37,Vacuum Cleaner,Home & Garden,4,200,0.1,0.0,PayPal,6,Delivered,3.6,100,720.0,320.0
ORD-50031,2023-12-15 12:00:00,UID-997,Standard,67,Male,East,PRD-BEA-89,Moisturizer,Beauty,2,25,0.1,19.95,Crypto,1,Delivered,4.9,6,45.0,13.05
ORD-50032,2023-11-12 11:00:00,UID-729,Standard,23,Male,South,PRD-HOM-10,Vacuum Cleaner,Home & Garden,2,200,0.14,0.0,Credit Card,9,Delivered,2.4,100,344.0,144.0
ORD-50033,2023-12-23 16:00:00,UID-595,Standard,62,Male,East,PRD-HOM-32,Vacuum Cleaner,Home & Garden,1,200,0.1,0.0,Credit Card,11,Delivered,3.7,100,180.0,80.0
ORD-50034,2023-08-14 10:00:00,UID-170,Premium,44,Female,West,PRD-BEA-99,Face Serum,Beauty,5,30,0.11,0.0,Credit Card,14,Delivered,3.4,8,133.5,93.5
ORD-50035,2023-02-11 14:00:00,UID-486,Standard,37,Male,North,PRD-BEA-32,Moisturizer,Beauty,2,25,0.14,7.7,Crypto,9,Delivered,2.6,6,43.0,23.3
